3,1000,[19],[7],[18]
3,1000,[26],[10],[25]
3,1000,[23],[9],[22]
3,1000,[16],[6],[15]
3,1000,[47],[17],[46]
3,1000,[15],[7],[14]
3,1000,[17],[7],[16]
3,1000,[11],[5],[10]
3,1000,[26],[10],[25]
3,1000,[18],[8],[17]
3,1000,[28],[10],[27]
3,1000,[30],[11],[29]
3,1000,[20],[8],[19]
3,1000,[15],[7],[14]
3,1000,[14],[6],[13]
3,1000,[15],[6],[14]
3,1000,[9],[5],[8]
3,1000,[17],[7],[16]
3,1000,[35],[13],[34]
3,1000,[8],[4],[7]
3,100,[8],[4],[7]
3,100,[12],[6],[11]
3,100,[16],[6],[15]
3,100,[8],[4],[7]
3,100,[14],[5],[13]
3,100,[12],[5],[11]
3,100,[18],[6],[17]
3,100,[11],[5],[10]
3,100,[11],[5],[10]
3,100,[9],[5],[8]
3,100,[12],[5],[11]
3,100,[8],[4],[7]
3,100,[17],[6],[16]
3,100,[8],[4],[7]
3,100,[11],[5],[10]
3,100,[9],[4],[8]
3,100,[8],[4],[7]
3,100,[11],[5],[10]
3,100,[8],[4],[7]
3,100,[11],[5],[10]
